"id","domain","capability","status","impact","backstory_evidence","n8n_evidence","finding"
"RT-01","runtime","Free-form directed graph","strong","medium","src/components/flows/canvas/graph-canvas.tsx; src/lib/flows/graph.ts","packages/frontend/editor-ui/src/app/stores/workflowDocument","Both support positioned nodes and freely drawn connections."
"RT-02","runtime","Cyclic graph execution","intentional-divergence","high","src/lib/flows/validate.ts","packages/workflow/src/workflow.ts","Backstory rejects outer-graph cycles; n8n can represent loop-back connections and repeated runs."
"RT-03","runtime","Typed and indexed ports","partial","high","src/lib/flows/graph.ts","packages/workflow/src/interfaces.ts","Backstory edges carry one optional branch string and one input handle; n8n carries typed connections and indexed inputs/outputs including AI sub-node ports."
"RT-04","runtime","Global item-array data contract","gap","high","src/lib/flows/graph.ts; src/features/flows/context.ts","packages/workflow/src/interfaces.ts","Backstory values are arbitrary JSON with opt-in perItem; n8n nodes universally receive and emit item arrays."
"RT-05","runtime","Paired-item lineage","gap","high","src/features/flows/context.ts","packages/workflow/src/interfaces.ts; packages/workflow/src/workflow-data-proxy.ts","Backstory has no pairedItem/source lineage equivalent for resolving the corresponding upstream item."
"RT-06","runtime","Per-item binary channel","gap","high","src/lib/flows/file-ref.ts","packages/workflow/src/interfaces.ts","Backstory uses stored-file references inside JSON; n8n items carry a separate binary map and binary metadata."
"RT-07","runtime","Per-item fan-out and collection","partial","high","src/lib/flows/graph.ts; src/features/flows/interpret.ts","packages/core/src/execution-engine","Backstory perItem supports concurrency pacing and error policies but is opt-in and does not reproduce n8n item semantics."
"RT-08","runtime","Conditional branch pruning","strong","medium","src/lib/flows/dag-scheduler.ts; src/features/flows/interpret.ts","packages/core/src/execution-engine","Both route condition and switch outputs and prevent unselected paths from executing."
"RT-09","runtime","Fan-in and merge scheduling","partial","high","src/features/flows/interpret.ts; src/lib/flows/merge.ts","packages/nodes-base/nodes/Merge","Backstory waits for resolved incoming edges but merge modes and indexed-input semantics are narrower."
"RT-10","runtime","Loops and batching","partial","high","src/features/flows/interpret.ts","packages/nodes-base/nodes/SplitInBatches","Backstory uses a loop container or perItem; n8n uses item runs and graph back-edges with reset/batch behavior."
"RT-11","runtime","Parallel branches","partial","medium","src/features/flows/interpret.ts","packages/core/src/execution-engine","Backstory has explicit parallel containers and concurrent ready nodes; nested branching inside containers is restricted."
"RT-12","runtime","Workflow variables and context","partial","medium","src/features/flows/context.ts; src/features/flows/interpret.ts","packages/workflow/src/workflow-data-proxy.ts","Backstory has typed run variables but not n8n's complete workflow static data and execution data proxy."
"RT-13","runtime","Expression language","partial","high","src/features/flows/context.ts; src/lib/flows/import/from-n8n.ts","packages/workflow/src/workflow-data-proxy.ts","Backstory resolves safe dot-path tokens; n8n expressions expose JavaScript plus item workflow execution environment helpers and JMESPath."
"RT-14","runtime","JavaScript code runtime","partial","high","src/features/flows/code-runner.ts","packages/nodes-base/nodes/Code","Both sandbox JavaScript but available helpers libraries item wrappers and task-runner isolation differ."
"RT-15","runtime","Python code runtime","partial","medium","src/features/flows/code-runner.ts","packages/nodes-base/nodes/Code","Backstory uses Pyodide; n8n's task runner and Python runtime API are not identical."
"RT-16","runtime","Durable queued execution","strong","high","src/lib/queue; src/lib/workers/runtime.ts; src/features/flows/execute-flow.ts","packages/cli/src/scaling; packages/core/src/execution-engine","Backstory normally dispatches BullMQ jobs and persists runs and steps."
"RT-17","runtime","Pause resume and waiting","strong","high","src/features/flows/execute-flow.ts; src/lib/flows/run-waiting.ts","packages/cli/src/wait-tracker.ts; packages/nodes-base/nodes/Wait","Backstory persists timer webhook human-input and approval waits and resumes the graph snapshot."
"RT-18","runtime","Synchronous webhook response durability","gap","high","src/app/api/flows/[id]/trigger/route.ts","packages/cli/src/webhooks; packages/cli/src/webhooks/webhook-helpers.ts","Backstory's last-node response path executes inline while the HTTP request is open instead of using a dedicated webhook/worker response broker."
"RT-19","runtime","Cancellation","partial","medium","src/features/flows/execute-flow.ts; src/components/flows/run-panel.tsx","packages/core/src/execution-engine; packages/cli/src/executions","Backstory records cancelling/cancelled and polls cancellation but cancellation of already-issued external work is best effort."
"RT-20","runtime","Side-effect replay protection","ahead","high","src/lib/flows/side-effect-ledger.ts; prisma/schema.prisma","packages/core/src/execution-engine","Backstory persists a side-effect ledger across retries and resumes for tool and HTTP writes."
"RT-21","runtime","Immutable dependency manifest","ahead","high","src/lib/flows/execution-manifest.ts","packages/core/src/execution-engine","Backstory fingerprints graph agent and tool dependencies before dispatch and rejects incompatible drift."
"RT-22","runtime","Per-node typeVersion","gap","high","src/lib/flows/graph.ts","packages/workflow/src/interfaces.ts","Backstory has one graph schemaVersion but no independently versioned node behavior."
"RT-23","runtime","Graph migrations","partial","high","src/lib/flows/graph-migrations.ts","packages/cli/src/modules/breaking-changes; packages/nodes-base/nodes","Backstory has a migration runner but CURRENT_GRAPH_VERSION is 1 and the migration registry is empty."
"RT-24","runtime","Breaking-change impact scanner","gap","medium","src/lib/flows/graph-migrations.ts","packages/cli/src/modules/breaking-changes","n8n has 36 workflow/instance rules plus report refresh detail and migration APIs; Backstory has no operator report."
"RT-25","runtime","Execution order selection","gap","medium","src/lib/flows/dag-scheduler.ts","packages/workflow/src/interfaces.ts","Backstory has one DAG scheduler; n8n stores executionOrder and supports its own compatibility order."
"RT-26","runtime","Experimental engine-v2","not-benchmark","low","src/features/flows/interpret.ts","packages/cli/src/modules/engine-v2; packages/@n8n/engine","n8n engine-v2 is experimental and currently lacks queue support and credential enforcement; stable engine behavior is the parity target."
"CFG-01","configuration","Workflow timezone","partial","medium","src/lib/flows/trigger.ts; src/lib/scheduling","packages/workflow/src/interfaces.ts","Backstory schedule configuration can carry timezones but there is no complete workflow-wide timezone context for all date/expression behavior."
"CFG-02","configuration","Execution timeout setting","gap","high","prisma/schema.prisma; src/lib/flows/advanced-params.ts","packages/workflow/src/interfaces.ts","Backstory has selected per-node timeouts but no workflow-wide executionTimeout setting."
"CFG-03","configuration","Save success error manual execution data settings","gap","medium","prisma/schema.prisma","packages/workflow/src/interfaces.ts","Backstory persists runs uniformly and cannot configure n8n-style saveDataSuccessExecution saveDataErrorExecution or saveManualExecutions per flow."
"CFG-04","configuration","Save execution progress","partial","medium","prisma/schema.prisma; src/features/flows/run-step-persistence.ts","packages/workflow/src/interfaces.ts","Backstory always persists step progress rather than exposing the n8n setting."
"CFG-05","configuration","Caller policy and allowed subflows","partial","high","src/features/flows/execute-flow.ts; src/lib/flows/validate.ts","packages/workflow/src/interfaces.ts","Backstory validates workspace visibility and self-reference with a depth cap but has no callerIds/callerPolicy configuration."
"CFG-06","configuration","Workflow binary mode","gap","high","src/lib/flows/file-ref.ts","packages/workflow/src/interfaces.ts","No combined/separate binary-mode workflow setting exists."
"CFG-07","configuration","Workflow MCP availability","partial","medium","src/app/api/mcp/route.ts","packages/workflow/src/interfaces.ts; packages/cli/src/modules/mcp","Backstory exposes every eligible published flow to a scoped MCP key; it lacks a per-workflow availableInMCP toggle."
"CFG-08","configuration","Credential resolver selection","gap","medium","prisma/schema.prisma","packages/workflow/src/interfaces.ts; packages/cli/src/modules/dynamic-credentials.ee","No credentialResolverId or equivalent per workflow."
"CFG-09","configuration","Workflow redaction policy","partial","high","src/lib/flows/secret-redaction.ts; src/lib/flows/run-data-guard.ts","packages/workflow/src/interfaces.ts; packages/cli/src/modules/redaction","Backstory redacts by platform policy but does not expose n8n's workflow redactionPolicy setting."
"CFG-10","configuration","Custom telemetry tags","gap","low","prisma/schema.prisma","packages/workflow/src/interfaces.ts","Backstory has no customTelemetryTags workflow setting."
"CFG-11","configuration","Generic retry-on-fail settings","partial","high","src/lib/flows/advanced-params.ts; src/components/flows/advanced-params.tsx","packages/workflow/src/interfaces.ts","Retries delay on-error and always-output exist on action node subsets rather than every compatible node."
"CFG-12","configuration","Execute once setting","gap","medium","src/lib/flows/advanced-params.ts","packages/workflow/src/interfaces.ts","No generic executeOnce node setting."
"CFG-13","configuration","Disable node","strong","medium","src/lib/flows/graph.ts; src/features/flows/interpret.ts","packages/workflow/src/interfaces.ts","Both preserve disabled nodes as pass-through behavior."
"CFG-14","configuration","Node notes and notes-in-flow","partial","low","src/lib/flows/graph.ts; src/components/flows/step-drawer.tsx","packages/workflow/src/interfaces.ts","Backstory nodes have note fields and note cards but no generic notesInFlow display switch identical to n8n."
